7,
[
    (24, 63),
    (35, 60),
    (79, 46),
    (3, 45),
    (42, 50),
    (3, 40),
    (29, 96),
    (47, 30),
    (54, 77),
    (36, 30),
    (83, 86),
    (30, 6),
    (55, 29),
    (13, 2),
    (1, 19),
    (98, 1),
    (75, 10),
    (39, 23),
    (62, 91),
    (96, 9),
    (27, 87),
    (14, 16),
    (52, 49),
    (95, 21),
    (30, 6),
    (18, 40),
    (82, 90),
    (50, 79),
    (48, 49),
    (82, 73),
    (64, 62),
    (34, 78),
    (83, 6),
    (3, 77),
    (18, 8),
    (53, 86),
    (88, 51),
    (77, 51),
    (58, 89),
    (12, 44),
    (70, 88),
    (36, 17),
    (85, 23),
    (93, 30),
    (68, 67),
    (71, 34),
    (56, 73),
    (37, 37),
    (78, 20),
    (88, 69),
    (95, 42),
    (44, 71),
    (18, 1)
],
100,
[2, 12, 14, 2, 17, 20, 2, 26, 7, 24, 23, 13, 25, 20, 3, 18, 23, 6, 2, 13, 22, 3, 6, 7, 1, 18, 18, 10, 2, 9, 10, 8, 30, 16, 23, 2, 18, 22, 1, 8, 4, 26, 21, 2, 15, 25, 22, 19, 3, 3, 5, 13],
cost_function=euclidean_distance
